	set1_id	set1_country	set1_city	set1_orgvisibility	set2_id	set2_country	set2_city	set2_orgvisibility	set1_orgname_with_city	set2_orgname_with_city	similarity
126	60274263	Egypt	Cairo	true	60273369	Egypt	Cairo	true	Faculty of Computer Science, Cairo	Faculty of Computer Science, Cairo	1.0
127	60273390	Egypt	6th October	true	60273773	Egypt	6th October	true	Faculty of Dentistry, 6th October	Faculty of Dentistry, 6th October	1.0
128	60273390	Egypt	6th October	true	60273582	Egypt	6th October	true	Faculty of Dentistry, 6th October	Faculty of Dentistry, 6th October	1.0
129	60274473	Egypt	Suez	true	60273581	Egypt	Suez	true	Faculty of Arts, Suez	Faculty of the Arts, Suez	1.0
130	60273709	Egypt	Cairo	true	60004782	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
131	60273709	Egypt	Cairo	true	60273712	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
132	60273709	Egypt	Cairo	true	60273371	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
133	60273709	Egypt	Cairo	true	60274265	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
134	60273709	Egypt	Cairo	true	60216981	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
135	60278283	Egypt	Cairo	true	60002575	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
136	60278283	Egypt	Cairo	true	60273602	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
137	60278283	Egypt	Cairo	true	60273331	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
138	60278283	Egypt	Cairo	true	60274264	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
139	60278283	Egypt	Cairo	true	60274955	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
140	60278283	Egypt	Cairo	true	60273705	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
141	60278283	Egypt	Cairo	true	60216991	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
142	60273758	Egypt	Cairo	true	60274978	Egypt	Cairo	true	Faculty of Languages and Translation, Cairo	Faculty of Languages ​​and Translation, Cairo	1.0
143	60276313	Egypt	Beni Suef	true	60202203	Egypt	Beni Suef	true	Faculty of Medicine, Beni Suef	Faculty of Medicine, Beni Suef	1.0
144	60273369	Egypt	Cairo	true	60274263	Egypt	Cairo	true	Faculty of Computer Science, Cairo	Faculty of Computer Science, Cairo	1.0
145	60275850	Egypt	Cairo	true	60276437	Egypt	Cairo	true	Faculty of Mass Communication, Cairo	Faculty of Mass Communication, Cairo	1.0
146	60275850	Egypt	Cairo	true	60274995	Egypt	Cairo	true	Faculty of Mass Communication, Cairo	Faculty of Mass Communication, Cairo	1.0
147	60276326	Egypt	El Shorouk	true	60273161	Egypt	El Shorouk	true	Faculty of Media and Mass Communication, El Shorouk	Faculty of Communication and Mass Media, El Shorouk	1.0
148	60274488	Egypt	Suez	true	60273295	Egypt	Suez	true	Faculty of Engineering, Suez	Faculty of Engineering, Suez	1.0
149	60273392	Egypt	6th October	true	60273777	Egypt	6th October	true	Faculty of Pharmacy, 6th October	Faculty of Pharmacy, 6th October	1.0
150	60273392	Egypt	6th October	true	60273761	Egypt	6th October	true	Faculty of Pharmacy, 6th October	Faculty of Pharmacy, 6th October	1.0
151	60274105	Egypt	6th October	true	60273393	Egypt	6th October	true	Faculty of Physical Therapy, 6th October	Faculty of Physical Therapy, 6th October	1.0
152	60274105	Egypt	6th October	true	60278271	Egypt	6th October	true	Faculty of Physical Therapy, 6th October	Faculty of Physical therapy, 6th October	1.0
153	60273712	Egypt	Cairo	true	60004782	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
154	60273712	Egypt	Cairo	true	60273709	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
155	60273712	Egypt	Cairo	true	60273371	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
156	60273712	Egypt	Cairo	true	60274265	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
157	60273712	Egypt	Cairo	true	60216981	Egypt	Cairo	true	Faculty of Pharmacy, Cairo	Faculty of Pharmacy, Cairo	1.0
158	60275801	Egypt	6th October	true	60273763	Egypt	6th October	true	Faculty of Mass Communication, 6th October	Faculty of Mass Communication, 6th October	1.0
159	60273393	Egypt	6th October	true	60274105	Egypt	6th October	true	Faculty of Physical Therapy, 6th October	Faculty of Physical Therapy, 6th October	1.0
160	60273393	Egypt	6th October	true	60278271	Egypt	6th October	true	Faculty of Physical Therapy, 6th October	Faculty of Physical therapy, 6th October	1.0
161	60273103	Egypt	Alexandria	true	60274385	Egypt	Alexandria	true	Faculty of Dentistry, Alexandria	Faculty of Dentistry, Alexandria	1.0
162	60274269	Egypt	Cairo	true	60273710	Egypt	Cairo	true	Faculty of Physical Therapy, Cairo	Faculty of Physical Therapy, Cairo	1.0
163	60274269	Egypt	Cairo	true	60273023	Egypt	Cairo	true	Faculty of Physical Therapy, Cairo	Faculty of Physical Therapy, Cairo	1.0
164	60273602	Egypt	Cairo	true	60002575	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
165	60273602	Egypt	Cairo	true	60278283	Egypt	Cairo	true	Faculty of Engineering, Cairo	Faculty of Engineering, Cairo	1.0
