set1_id	set1_orgname	set2_id	set2_orgname	similarity	id_match
60304702	Surmodics, Inc., Eden Prairie	60082837	SurModics, Inc., Eden Prairie	1.0	False
60294515	Cerner Corporation,, North Kansas City	60006853	Cerner Corporation, North Kansas City	1.0	False
60303400	Good Start Genetics, Inc., Cambridge	60304292	Good Start Genetics Inc., Cambridge	1.0	False
60304292	Good Start Genetics Inc., Cambridge	60303400	Good Start Genetics, Inc., Cambridge	1.0	False
60287929	Agricultural University of Wroclaw, Wrocław	60117470	Agricultural University of Wrocław, Wroclaw	1.0	False
60319496	Locus Biosciences, Inc, Morrisville	60310855	Locus Biosciences, Inc., Morrisville	1.0	False
60310855	Locus Biosciences, Inc., Morrisville	60319496	Locus Biosciences, Inc, Morrisville	1.0	False
60300574	Epitopix LLC, Willmar	60298642	Epitopix, LLC, Willmar	1.0	False
60298642	Epitopix, LLC, Willmar	60300574	Epitopix LLC, Willmar	1.0	False
60304082	Rhodia Consumer Specialties Ltd., Oldbury	60302358	Rhodia Consumer Specialties Ltd, Oldbury	1.0	False
60302358	Rhodia Consumer Specialties Ltd, Oldbury	60304082	Rhodia Consumer Specialties Ltd., Oldbury	1.0	False
60327361	Embark Veterinary, Inc., Boston	60312793	Embark Veterinary, Inc, Boston	1.0	False
60312793	Embark Veterinary, Inc, Boston	60327361	Embark Veterinary, Inc., Boston	1.0	False
60313210	GelTex Pharmaceuticals Inc., Waltham	60028414	GelTex Pharmaceuticals, Inc., Waltham	1.0	False
60295418	Cellomics Inc., Pittsburgh	60011920	Cellomics, Inc., Pittsburgh	1.0	False
60311937	Thorn EMI Plc, London	60297968	Thorn EMI plc, London	1.0	False
60301725	DNAPrint Genomics Inc., Sarasota	60294221	DNAPrint Genomics, Inc., Sarasota	1.0	False
60294221	DNAPrint Genomics, Inc., Sarasota	60301725	DNAPrint Genomics Inc., Sarasota	1.0	False
60297968	Thorn EMI plc, London	60311937	Thorn EMI Plc, London	1.0	False
60298252	Molycorp Minerals LLC, Greenwood Village	60098680	Molycorp Minerals, LLC, Greenwood Village	1.0	False
60309027	Nanofluor GmbH, Berlin	60116396	nanofluor GmbH, Berlin	1.0	False
60311263	Nanostream Inc., Pasadena	60308889	Nanostream, Inc., Pasadena	1.0	False
60318217	NanoPharmaceuticals LLC, Troy	60295099	Nanopharmaceuticals LLC, Troy	1.0	False
60311252	Nanchang Virtual Reality Institute Co., Ltd., Nanchang	60300139	Nanchang Institute of Virtual Reality Co., Ltd., Nanchang	1.0	False
60308889	Nanostream, Inc., Pasadena	60311263	Nanostream Inc., Pasadena	1.0	False
60295099	Nanopharmaceuticals LLC, Troy	60318217	NanoPharmaceuticals LLC, Troy	1.0	False
60300139	Nanchang Institute of Virtual Reality Co., Ltd., Nanchang	60311252	Nanchang Virtual Reality Institute Co., Ltd., Nanchang	1.0	False
60304625	Lifelens Technologies, Inc., Ivyland	60295040	LifeLens Technologies, Inc, Ivyland	1.0	False
60298582	Lifepoint Health, Inc, Brentwood	60122480	LifePoint Health, Inc., Brentwood	1.0	False
60295040	LifeLens Technologies, Inc, Ivyland	60304625	Lifelens Technologies, Inc., Ivyland	1.0	False
60314692	Multex.com, Inc., New York	60318203	Multex Com Inc, New York	1.0	False
60318203	Multex Com Inc, New York	60314692	Multex.com, Inc., New York	1.0	False
60289933	Universitas Islam Negeri Imam Bonjol, Padang	60279331	Universitas Islam Negeri Imam Bonjol Padang, Padang	1.0	False
60289933	Universitas Islam Negeri Imam Bonjol Padang, Padang	60279331	Universitas Islam Negeri Imam Bonjol Padang, Padang	1.0	False
60281124	University of Technology and Applied Sciences, Muscat	60118536	University of Technology and Applied Sciences-Muscat, Muscat	1.0	False
60281124	University of Technology and Applied Sciences, Muscat	60118536	University of Technology and Applied Sciences Muscat, Muscat	1.0	False
60291713	Université Mohammed VI des Sciences et de la Santé – UM6SS, Casablanca	60170292	Université Mohammed VI des Sciences et de la Santé, Casablanca	0.9534625892455924	False
60291713	Université Mohammed VI des Sciences et de la Santé – UM6SS, Casablanca	60170292	Université Mohammed VI des Sciences et de la Santé (UM6SS), Casablanca	1.0	False
60280861	University of Koblenz-Landau Landau Campus, Landau	60280751	University of Koblenz-Landau Koblenz Campus, Koblenz	1.0	False
60280861	Universität Koblenz-Landau Landau Campus, Landau	60280751	Universität Koblenz-Landau Koblenz Campus, Koblenz	1.0	False
60280026	University of Nevada School of Medicine, Reno	60006873	University of Nevada, Reno School of Medicine, Reno	1.0	False
60280751	University of Koblenz-Landau Koblenz Campus, Koblenz	60280861	University of Koblenz-Landau Landau Campus, Landau	1.0	False
60280751	Universität Koblenz-Landau Koblenz Campus, Koblenz	60280861	Universität Koblenz-Landau Landau Campus, Landau	1.0	False
60297217	Sloiron Inc, Walnut Creek	60298690	Sloiron, Inc., Walnut Creek	1.0	False
60298690	Sloiron, Inc., Walnut Creek	60297217	Sloiron Inc, Walnut Creek	1.0	False
60312460	Biolex Therapeutics, Inc., Pittsboro	60310831	Biolex Therapeutics Inc, Pittsboro	1.0	False
60306625	Conductix-Wampfler GmbH, Weil am Rhein	60300443	Conductix-Wampfler Gmbh, Weil am Rhein	1.0	False
60298943	Bio-Thera Solutions, Ltd., Guangzhou	60311427	Bio-Thera Solutions Ltd., Guangzhou	1.0	False
60310540	Shandong Donghong Pipe Industry Co., Ltd., Qufu	60311292	Shandong Donghong Pipe Industry Co., Ltd, Qufu	1.0	False
60306853	HaplnScience Inc, Anyang	60298861	Haplnscience Inc., Anyang	1.0	False
60310831	Biolex Therapeutics Inc, Pittsboro	60312460	Biolex Therapeutics, Inc., Pittsboro	1.0	False
60297305	Biomimetx S.A., Cantanhede	60307500	BioMimetx S.A., Cantanhede	1.0	False
60311292	Shandong Donghong Pipe Industry Co., Ltd, Qufu	60310540	Shandong Donghong Pipe Industry Co., Ltd., Qufu	1.0	False
60311427	Bio-Thera Solutions Ltd., Guangzhou	60298943	Bio-Thera Solutions, Ltd., Guangzhou	1.0	False
60309318	Shanghai Weipu Chemical Technology Service Co., Ltd., Shanghai	60311297	Shanghai WEIPU Chemical Technology Service Co., Ltd., Shanghai	1.0	False
60309689	Biotx.ai, GmbH, Potsdam	60294915	biotx.ai GmbH, Potsdam	1.0	False
60341931	Confocal NL, Amsterdam	60328239	Confocal.nl, Amsterdam	1.0	False
60311297	Shanghai WEIPU Chemical Technology Service Co., Ltd., Shanghai	60309318	Shanghai Weipu Chemical Technology Service Co., Ltd., Shanghai	1.0	False
